type,template_names,label_fr
RelationshipBetweenDefinition,par hyperbole;hyperbole;hyperb;exag;exagération,Par hyperbole
RelationshipBetweenDefinition,par litote,Par litote
RelationshipBetweenDefinition,par métonymie;métonymie;méton,Par métonymie
RelationshipBetweenDefinition,sens propre;propre,Sens propre
RelationshipBetweenDefinition,spécialement,Spécialement
RelationshipBetweenDefinition,spécifiquement,Spécifiquement
Slang,Argadz,Argot des Gadz’Arts
Slang,argot,Argot
Slang,argot internet;argot Internet,Argot Internet
Slang,argot militaire,Argot militaire
Slang,argot poilu,Argot poilu
Slang,argot policier,Argot policier
Slang,argot polytechnicien,Argot polytechnicien
Slang,argot scolaire,Argot scolaire
Slang,argot typographes,Argot des typographes
Slang,argot voleurs,Argot des voleurs
Slang,langage SMS,Langage SMS
TextualGenre,didactique,Didactique
TextualGenre,littéraire,Littéraire
TextualGenre,poétique,Poétique
UseFrequency,beaucoup moins courant,Beaucoup moins courant
UseFrequency,beaucoup plus courant,Beaucoup plus courant
UseFrequency,courant,Courant
UseFrequency,extrêmement rare,Extrêmement rare
UseFrequency,hapax,Hapax
UseFrequency,moins courant,Moins courant
UseFrequency,peu attesté,Peu attesté
UseFrequency,peu usité,Peu usité
UseFrequency,plus courant,Plus courant
UseFrequency,plus rare,Plus rare
UseFrequency,rare,Rare
UseFrequency,très rare,Très rare
UseRegion,Commonwealth,Commonwealth
